Reference,Value,Footprint,LCSC
D1,IR333C-A,LED_THT:LED_D5.0mm,C5130
D2,IR333C-A,LED_THT:LED_D5.0mm,C5130
D3,IR333C-A,LED_THT:LED_D5.0mm,C5130
D4,IR333C-A,LED_THT:LED_D5.0mm,C5130
D5,IR333C-A,LED_THT:LED_D5.0mm,C5130
D6,IR333C-A,LED_THT:LED_D5.0mm,C5130
R1,150,Resistor_SMD:R_0603_1608Metric,C22843
R2,150,Resistor_SMD:R_0603_1608Metric,C22843
R3,150,Resistor_SMD:R_0603_1608Metric,C22843
R4,150,Resistor_SMD:R_0603_1608Metric,C22843
R5,150,Resistor_SMD:R_0603_1608Metric,C22843
R6,150,Resistor_SMD:R_0603_1608Metric,C22843
